feature,fit_split,fit_rows,validation_rows_used_for_fit,scaler_mean,train_imputed_mean,mean_matches_train_split,scaler_var,train_imputed_var,var_matches_train_split,scaler_scale
bf_fe_ratio,bbob_train,70033,0,0.360469921322805,0.360469921322805,True,0.01459228870517137,0.01459228870517137,True,0.12079854595636227
bf_improvement_rate_w02,bbob_train,70033,0,0.1342795977796223,0.1342795977796223,True,1.041471726245774,1.041471726245774,True,1.0205252207788762
bf_improvement_frequency_w02,bbob_train,70033,0,0.34591264118344206,0.34591264118344206,True,0.06871371344278783,0.06871371344278783,True,0.2621330071600824
bf_diversity_mean_pairwise,bbob_train,70033,0,0.06375083820139778,0.06375083820139778,True,0.01709829016426258,0.01709829016426258,True,0.1307604304224431
bf_diversity_change_w05,bbob_train,70033,0,-0.3432950646924174,-0.3432950646924174,True,1.403544379121062,1.403544379121062,True,1.1847127833872064
bf_covariance_spectral_concentration,bbob_train,70033,0,0.13428888008802492,0.13428888008802492,True,0.030359424978516784,0.030359424978516784,True,0.1742395620360565
bf_distance_decay_w10,bbob_train,70033,0,-0.08888550625462155,-0.08888550625462155,True,140.72955194172735,140.72955194172735,True,11.86294870349389
bf_stagnation_w10,bbob_train,70033,0,0.21004569274484888,0.21004569274484888,True,0.12447539950856333,0.12447539950856333,True,0.3528107134265672
bf_convergence_rate_w10,bbob_train,70033,0,-0.2320199618550324,-0.2320199618550324,True,9231.529157635267,9231.529157635267,True,96.08084698645858
bf_fitness_diversity_rel,bbob_train,70033,0,0.07231119762565487,0.07231119762565487,True,0.06858209360272359,0.06858209360272359,True,0.26188183137194454
bf_population_wasserstein_rate_w05,bbob_train,70033,0,2.0025582500465613,2.0025582500465613,True,12.492827319491429,12.492827319491429,True,3.534519390170526
bf_centroid_shift_rate_w05,bbob_train,70033,0,1.674892736666124,1.674892736666124,True,9.174300531829992,9.174300531829992,True,3.0289107830753275
bf_centroid_shift_coherence_w05,bbob_train,70033,0,0.7005087908674268,0.7005087908674268,True,0.047413397444098004,0.047413397444098004,True,0.21774617664633747
bf_fitness_quantile_improvement_fraction_w02,bbob_train,70033,0,0.7974790455927919,0.7974790455927919,True,0.12100772029613764,0.12100772029613764,True,0.3478616395869738
bf_fitness_distribution_improvement_rate_w02,bbob_train,70033,0,0.3320561746800476,0.3320561746800476,True,11.138517171584194,11.138517171584194,True,3.3374417105897436
bf_fitness_wasserstein_rate_w02,bbob_train,70033,0,0.9993890501883137,0.9993890501883137,True,13.450476617715166,13.450476617715166,True,3.6674891435033814
bf_elite_concentration,bbob_train,70033,0,0.8627782299614012,0.8627782299614012,True,0.014753890242114008,0.014753890242114008,True,0.12146559283234906
bf_best_fitness_slope_w05,bbob_train,70033,0,-7037.41064824345,-7037.41064824345,True,1745646108.6274202,1745646108.6274202,True,41780.92996364993
bf_diversity_slope_w05,bbob_train,70033,0,-0.31426268158372916,-0.31426268158372916,True,1.3146874121102816,1.3146874121102816,True,1.1465981912205694
bf_fitness_spread_slope_w05,bbob_train,70033,0,-0.1396276496336388,-0.1396276496336388,True,1.446097037354753,1.446097037354753,True,1.202537748827351
bf_population_centroid_shift_w05,bbob_train,70033,0,0.08463296709457911,0.08463296709457911,True,0.02321999656864381,0.02321999656864381,True,0.1523810899312766
bf_elite_centroid_shift_w05,bbob_train,70033,0,0.08533415755509635,0.08533415755509635,True,0.024043655997626458,0.024043655997626458,True,0.15506016895910588
bf_covariance_trace_ratio_w05,bbob_train,70033,0,1.980648344653176,1.980648344653176,True,532.585342117908,532.585342117908,True,23.077810600616083
bf_covariance_effective_rank_w05,bbob_train,70033,0,10.732936343996107,10.732936343996107,True,51.49705523297995,51.49705523297995,True,7.176144872630426
bf_diversity_recovery_w05,bbob_train,70033,0,0.14820860128095378,0.14820860128095378,True,1.1527874164748242,1.1527874164748242,True,1.0736793825322457
bf_population_chamfer_distance_w05,bbob_train,70033,0,0.08214551329340612,0.08214551329340612,True,0.02250572115368404,0.02250572115368404,True,0.15001906930015277
bf_covariance_trace_change_w05,bbob_train,70033,0,1.0164116874899531,1.0164116874899531,True,532.4823069551386,532.4823069551386,True,23.075578149964922
bf_covariance_effective_rank_change_w05,bbob_train,70033,0,1588210284.5154452,1588210284.5154452,True,1.301262049325153e+22,1.301262049325153e+22,True,114072873608.28397
bf_search_maturity,bbob_train,70033,0,0.1807758176831029,0.1807758176831029,True,0.004040588109765885,0.004040588109765885,True,0.06356562050169796
bf_search_maturity_linear,bbob_train,70033,0,0.4241981272612309,0.4241981272612309,True,0.004935928524774302,0.004935928524774302,True,0.07025616360700535
bf_explore_exploit_ratio,bbob_train,70033,0,0.7641482467409795,0.7641482467409795,True,0.1557481319048492,0.1557481319048492,True,0.3946493784422436
